;marca;preco;ref
0;Placa de Vídeo Zotac NVIDIA GeForce RTX 3070 Ti TRINITY LHR, 19 Gbps, 8GB GDDR6X, Ray Tracing, DLSS, RGB - ZT-A30710D-10P;R$ 5.899,99;https://www.kabum.com.br/produto/166105/placa-de-video-zotac-nvidia-geforce-rtx-3070-ti-trinity-lhr-19-gbps-8gb-gddr6x-ray-tracing-dlss-rgb-zt-a30710d-10p
1;Placa de Vídeo MSI NVIDIA GeForce RTX 3070 Gaming Z Trio 8G, 8GB GDDR6, LHR, RGB, DLSS, Ray Tracing - GeForce RTX 3070 GAMING Z TRIO 8G LHR;R$ 4.099,90;https://www.kabum.com.br/produto/356937/placa-de-video-msi-nvidia-geforce-rtx-3070-gaming-z-trio-8g-8gb-gddr6-lhr-rgb-dlss-ray-tracing-geforce-rtx-3070-gaming-z-trio-8g-lhr
2;Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3060 Eagle 12G (rev. 2.0), RGB, 12GB GDDR6, LHR, DLSS, Ray Tracing - GV-N3060EAGLE-12GD;R$ 2.939,99;https://www.kabum.com.br/produto/347104/placa-de-video-gigabyte-nvidia-geforce-rtx-3060-eagle-12g-rev-2-0-rgb-12gb-gddr6-lhr-dlss-ray-tracing-gv-n3060eagle-12gd
3;Placa de Video Gigabyte GeForce RTX 3060 Gaming OC 12G LHR, 12 GB GDDR6, REV 2.0, Ray Tracing - GV-N3060GAMING OC-12GD;R$ 2.899,99;https://www.kabum.com.br/produto/180539/placa-de-video-gigabyte-geforce-rtx-3060-gaming-oc-12g-lhr-12-gb-gddr6-rev-2-0-ray-tracing-gv-n3060gaming-oc-12gd
4;Placa de Vídeo MSI NVIDIA GeForce RTX 2060 Ventus GP OC, 6GB GDDR6, Ray Tracing - GeForce RTX 2060 VENTUS GP OC;R$ 2.599,99;https://www.kabum.com.br/produto/357660/placa-de-video-msi-nvidia-geforce-rtx-2060-ventus-gp-oc-6gb-gddr6-ray-tracing-geforce-rtx-2060-ventus-gp-oc
5;Placa de Vídeo Sapphire AMD Radeon RX 550 Pulse 4G, GDDR5 - 11268-01-20G;R$ 659,99;https://www.kabum.com.br/produto/89279/placa-de-video-sapphire-amd-radeon-rx-550-pulse-4g-gddr5-11268-01-20g
6;Placa de Vídeo MSI NVIDIA GeForce RTX 2060 Ventus GP OC, 6GB GDDR6, 3x DisplayPort, HDMI - 912-V375-808;R$ 1.999,99;https://www.kabum.com.br/produto/357647/placa-de-video-msi-nvidia-geforce-rtx-2060-ventus-gp-oc-6gb-gddr6-3x-displayport-hdmi-912-v375-808
7;Placa de Vídeo ZOTAC GAMING GeForce RTX 3060 Twin Edge - 15 Gbps, 12GB, GDDR6, Ray Tracing - ZT-A30600E-10M;R$ 2.799,99;https://www.kabum.com.br/produto/148656/placa-de-video-zotac-gaming-geforce-rtx-3060-twin-edge-15-gbps-12gb-gddr6-ray-tracing-zt-a30600e-10m
8;Placa de Vídeo Zotac Gaming NVIDIA GeForce RTX 2060, 6GB, GDDR6 - ZT-T20600H-10M;R$ 2.199,99;https://www.kabum.com.br/produto/110397/placa-de-video-zotac-gaming-nvidia-geforce-rtx-2060-6gb-gddr6-zt-t20600h-10m
9;Placa de Vídeo Gigabyte GeForce RTX 3060 VISION OC 12G, 12GB GDDR6, RGB Fusion, Ray Tracing, Metal Back Plate - GV-N3060VISION OC-12GD;R$ 3.199,99;https://www.kabum.com.br/produto/150631/placa-de-video-gigabyte-geforce-rtx-3060-vision-oc-12g-12gb-gddr6-rgb-fusion-ray-tracing-metal-back-plate-gv-n3060vision-oc-12gd
